speaker,phase,predicted_emotion,count,total,share
Donald Trump,presidency,nervousness,5,1500,0.0033333333333333335
Donald Trump,presidency,optimism,33,1500,0.022
Donald Trump,presidency,pride,18,1500,0.012
Donald Trump,presidency,realization,58,1500,0.03866666666666667
Donald Trump,presidency,relief,4,1500,0.0026666666666666666
Donald Trump,presidency,remorse,3,1500,0.002
Donald Trump,presidency,sadness,32,1500,0.021333333333333333
Donald Trump,presidency,surprise,44,1500,0.029333333333333333
Joe Biden,campaign,admiration,17,1500,0.011333333333333334
Joe Biden,campaign,amusement,2,1500,0.0013333333333333333
Joe Biden,campaign,anger,45,1500,0.03
Joe Biden,campaign,annoyance,18,1500,0.012
Joe Biden,campaign,approval,38,1500,0.025333333333333333
Joe Biden,campaign,caring,250,1500,0.16666666666666666
Joe Biden,campaign,confusion,66,1500,0.044
Joe Biden,campaign,curiosity,37,1500,0.024666666666666667
Joe Biden,campaign,desire,226,1500,0.15066666666666667
Joe Biden,campaign,disappointment,89,1500,0.059333333333333335
Joe Biden,campaign,disapproval,118,1500,0.07866666666666666
Joe Biden,campaign,disgust,8,1500,0.005333333333333333
Joe Biden,campaign,embarrassment,9,1500,0.006
Joe Biden,campaign,excitement,98,1500,0.06533333333333333
Joe Biden,campaign,fear,16,1500,0.010666666666666666
Joe Biden,campaign,gratitude,77,1500,0.051333333333333335
Joe Biden,campaign,grief,6,1500,0.004
Joe Biden,campaign,love,3,1500,0.002
Joe Biden,campaign,nervousness,12,1500,0.008
Joe Biden,campaign,neutral,6,1500,0.004
Joe Biden,campaign,optimism,42,1500,0.028
Joe Biden,campaign,pride,45,1500,0.03
Joe Biden,campaign,realization,203,1500,0.13533333333333333
Joe Biden,campaign,relief,4,1500,0.0026666666666666666
Joe Biden,campaign,remorse,3,1500,0.002
Joe Biden,campaign,sadness,56,1500,0.037333333333333336
Joe Biden,campaign,surprise,6,1500,0.004
Joe Biden,presidency,admiration,4,1122,0.0035650623885918
Joe Biden,presidency,anger,15,1122,0.013368983957219251
Joe Biden,presidency,annoyance,1,1122,0.00089126559714795
Joe Biden,presidency,approval,88,1122,0.0784313725490196
Joe Biden,presidency,caring,245,1122,0.21836007130124777
Joe Biden,presidency,confusion,30,1122,0.026737967914438502
Joe Biden,presidency,curiosity,18,1122,0.016042780748663103
Joe Biden,presidency,desire,211,1122,0.18805704099821746
Joe Biden,presidency,disappointment,20,1122,0.017825311942959002
Joe Biden,presidency,disapproval,52,1122,0.04634581105169341
Joe Biden,presidency,embarrassment,1,1122,0.00089126559714795
Joe Biden,presidency,excitement,50,1122,0.044563279857397504
Joe Biden,presidency,fear,6,1122,0.0053475935828877
Joe Biden,presidency,gratitude,29,1122,0.025846702317290554
Joe Biden,presidency,grief,1,1122,0.00089126559714795
Joe Biden,presidency,love,4,1122,0.0035650623885918
Joe Biden,presidency,nervousness,2,1122,0.0017825311942959
Joe Biden,presidency,neutral,2,1122,0.0017825311942959
Joe Biden,presidency,optimism,35,1122,0.031194295900178252
Joe Biden,presidency,pride,12,1122,0.0106951871657754
Joe Biden,presidency,realization,244,1122,0.21746880570409982
Joe Biden,presidency,relief,26,1122,0.023172905525846704
Joe Biden,presidency,remorse,3,1122,0.00267379679144385
Joe Biden,presidency,sadness,17,1122,0.015151515151515152
Joe Biden,presidency,surprise,6,1122,0.0053475935828877
